mx,my,mz
1.00533330,0.89700001,0.09400000
1.00100005,0.89533335,0.09533333
1.00366664,0.89533335,0.09333333
1.00199997,0.89433336,0.09533333
1.00266671,0.89433336,0.09400000
1.00266671,0.89366668,0.09400000
1.00366664,0.89866668,0.09600000
1.00366664,0.89433336,0.09400000
1.00533330,0.89233333,0.09533333
1.00733328,0.89366668,0.10033333
1.00533330,0.89433336,0.09700000
1.00033331,0.89366668,0.09333333
1.00033331,0.89233333,0.09333333
1.00199997,0.89933336,0.09600000
1.00100005,0.89533335,0.09533333
1.00433338,0.89366668,0.09766667
1.00533330,0.89233333,0.09866667
1.00199997,0.89366668,0.09766667
1.00366664,0.89233333,0.09600000
1.00533330,0.89233333,0.09866667
1.00199997,0.89433336,0.09333333
0.99933332,0.89433336,0.09700000
1.00366664,0.89233333,0.09700000
1.00100005,0.89433336,0.09066667
1.00033331,0.89233333,0.09533333
1.00199997,0.89233333,0.09166667
1.00266671,0.89433336,0.09400000
1.00533330,0.89700001,0.09533333
1.00366664,0.89600003,0.09700000
1.00033331,0.89533335,0.09766667
1.00033331,0.89433336,0.09400000
0.99933332,0.89166665,0.09766667
1.00433338,0.89366668,0.09333333
1.00100005,0.89233333,0.09533333
1.00033331,0.89533335,0.09600000
1.00266671,0.89233333,0.09533333
1.00366664,0.89366668,0.09333333
1.00433338,0.89166665,0.09533333
1.00266671,0.89433336,0.09400000
1.00433338,0.89433336,0.09766667
1.00533330,0.89366668,0.10100000
1.00433338,0.89433336,0.09333333
1.00199997,0.89866668,0.09600000
1.00266671,0.89600003,0.09866667
1.00033331,0.89433336,0.09400000
1.00100005,0.89233333,0.09600000
1.00366664,0.89533335,0.09533333
1.00266671,0.89233333,0.09533333
1.00266671,0.89366668,0.09400000
1.00366664,0.89533335,0.09700000
1.00033331,0.89233333,0.08833333
1.00600004,0.89433336,0.09333333
1.00100005,0.89366668,0.09400000
1.00433338,0.89233333,0.09600000
1.00199997,0.89366668,0.09600000
1.00266671,0.89700001,0.09533333
0.99866664,0.89533335,0.09533333
1.00199997,0.89433336,0.09700000
1.00266671,0.89433336,0.09400000
1.00199997,0.89433336,0.09166667
1.00433338,0.89700001,0.09700000
1.00600004,0.89433336,0.09600000
1.00533330,0.89600003,0.09400000
1.00199997,0.89766669,0.09766667
1.00733328,0.89700001,0.09400000
1.00199997,0.89600003,0.09233333
1.00533330,0.89533335,0.09700000
1.00899994,0.89533335,0.09766667
1.00600004,0.89533335,0.09333333
1.00266671,0.89233333,0.09766667
1.00266671,0.89533335,0.09533333
1.00533330,0.89433336,0.09400000
1.00266671,0.89600003,0.09600000
1.00366664,0.89600003,0.09933333
1.00733328,0.89533335,0.09533333
1.00199997,0.89366668,0.09766667
1.00366664,0.89533335,0.09700000
1.00600004,0.89600003,0.09600000
1.00100005,0.89700001,0.09866667
1.00600004,0.89600003,0.09700000
0.99933332,0.89366668,0.09533333
1.00199997,0.89433336,0.09700000
1.00199997,0.89766669,0.09066667
1.00266671,0.89166665,0.09400000
1.00199997,0.89166665,0.09600000
1.00733328,0.89700001,0.10100000
1.00366664,0.89533335,0.09700000
1.00199997,0.89600003,0.09766667
1.00199997,0.89700001,0.09066667
1.00033331,0.89366668,0.09766667
1.00100005,0.89533335,0.09166667
0.99766666,0.89600003,0.09233333
1.00533330,0.89600003,0.09700000
1.00199997,0.89766669,0.08900000
1.00266671,0.89433336,0.09533333
1.00266671,0.89366668,0.09600000
1.00366664,0.89366668,0.09333333
1.00433338,0.89233333,0.09333333
1.00199997,0.89600003,0.09400000
1.00600004,0.89433336,0.09700000
1.00366664,0.89166665,0.09233333
0.99766666,0.89533335,0.09600000
1.00266671,0.89233333,0.09766667
1.00266671,0.89366668,0.09600000
1.00533330,0.89933336,0.09700000
0.99933332,0.89866668,0.09933333
1.00266671,0.89600003,0.09533333
1.00266671,0.89233333,0.10100000
1.00199997,0.89600003,0.09533333
1.00199997,0.89366668,0.09600000
1.00199997,0.89533335,0.09533333
1.00433338,0.89366668,0.09400000
1.00366664,0.89533335,0.09600000
1.00366664,0.89600003,0.09933333
1.00433338,0.89066666,0.09600000
1.00533330,0.89533335,0.09533333
1.00533330,0.89233333,0.09700000
1.00366664,0.89533335,0.09600000
1.00600004,0.89433336,0.09766667
1.00433338,0.89700001,0.09700000
1.00733328,0.89600003,0.10100000
1.00600004,0.89600003,0.09866667
1.00533330,0.89433336,0.09533333
1.00366664,0.89166665,0.09933333
1.00433338,0.89866668,0.09700000
1.00199997,0.89233333,0.09933333
1.00899994,0.89433336,0.09700000
1.00266671,0.89600003,0.09533333
1.00533330,0.89600003,0.09700000
1.00533330,0.89433336,0.09700000
1.00366664,0.89600003,0.09600000
1.00199997,0.89600003,0.09333333
1.00266671,0.89700001,0.09533333
1.00199997,0.89233333,0.09600000
1.00266671,0.89366668,0.09333333
1.00199997,0.89066666,0.09766667
1.00433338,0.88999999,0.09533333
1.00266671,0.89066666,0.09400000
1.00533330,0.89166665,0.09933333
1.00033331,0.89600003,0.09866667
1.00433338,0.89600003,0.09533333
1.00366664,0.89700001,0.09700000
1.00199997,0.89700001,0.09400000
1.00033331,0.89600003,0.09700000
1.00266671,0.89433336,0.09700000
1.00833333,0.89433336,0.09933333
1.00600004,0.89233333,0.09700000
1.00733328,0.89233333,0.09000000
1.00533330,0.89700001,0.09766667
1.00366664,0.89533335,0.09866667
1.00366664,0.89533335,0.09333333
1.00533330,0.89066666,0.09700000
1.00366664,0.89600003,0.09400000
1.00533330,0.89433336,0.09700000
1.00433338,0.89433336,0.09400000
1.00533330,0.89933336,0.09700000
1.00433338,0.89166665,0.09533333
1.00100005,0.89533335,0.09766667
1.00199997,0.89600003,0.09766667
1.00199997,0.89700001,0.09333333
1.00433338,0.89533335,0.10033333
1.00600004,0.89433336,0.10100000
1.00433338,0.89166665,0.09400000
1.00266671,0.89366668,0.09600000
1.00366664,0.89366668,0.10100000
1.00199997,0.89533335,0.09533333
1.00033331,0.89533335,0.09700000
1.00600004,0.88999999,0.10100000
1.00100005,0.88900000,0.08900000
1.00199997,0.89366668,0.09533333
1.00433338,0.88999999,0.09766667
1.00366664,0.89366668,0.09600000
1.00733328,0.89533335,0.09533333
1.00100005,0.89166665,0.10033333
1.00199997,0.89533335,0.09533333
1.00433338,0.89166665,0.09333333
1.00033331,0.89600003,0.09400000
1.00100005,0.89233333,0.09600000
1.00266671,0.89233333,0.09333333
1.00033331,0.89600003,0.09700000
1.00533330,0.89433336,0.09333333
1.00433338,0.89533335,0.09233333
1.00366664,0.89700001,0.09766667
1.00366664,0.89433336,0.09333333
1.00100005,0.89766669,0.09533333
1.00033331,0.89533335,0.09933333
1.00533330,0.89233333,0.09400000
1.00433338,0.89233333,0.09400000
1.00533330,0.89533335,0.09766667
1.00366664,0.89866668,0.09933333
1.00266671,0.89600003,0.10100000
1.00533330,0.89600003,0.09866667
1.00833333,0.89533335,0.09866667
1.00199997,0.89533335,0.09700000
1.00433338,0.89600003,0.09700000
1.00533330,0.89600003,0.09866667
1.00600004,0.89600003,0.09600000
1.00366664,0.89933336,0.10033333
1.00366664,0.89533335,0.09600000
1.00266671,0.89600003,0.10033333
1.00366664,0.89933336,0.09333333
1.00433338,0.89600003,0.09600000
1.00033331,0.89533335,0.09700000
1.00199997,0.89433336,0.09533333
1.00533330,0.89433336,0.09533333
1.00533330,0.89600003,0.09766667
1.00433338,0.89366668,0.09400000
1.00199997,0.89066666,0.09333333
1.00199997,0.89766669,0.09600000
1.00433338,0.89433336,0.09600000
1.00199997,0.89433336,0.09533333
1.00199997,0.89066666,0.09866667
1.00100005,0.89600003,0.09700000
1.00433338,0.89366668,0.09400000
1.00266671,0.89700001,0.09933333
1.00533330,0.89433336,0.09766667
1.00433338,0.89066666,0.09700000
1.00600004,0.89533335,0.09700000
1.00600004,0.89533335,0.09933333
1.00600004,0.89166665,0.09233333
1.00366664,0.89700001,0.09866667
1.00266671,0.89366668,0.09600000
1.00199997,0.89700001,0.09233333
1.00600004,0.88999999,0.09400000
